Name,Description,Type,Rank,Reveal,Passive,Damage,HP,Organic Cost,Tech Cost,Alien Cost,Armor,Shields
Titan,Walking armory,Mechanised,General,Deal 15 damage to active units 3 times,"Shreds shields and armor, hits all active, Stuns units on ability activation.",20,33,5,16,8,2,12
Oblivion Walker,"3 legged walker, Deletes units on kill",Mechanised,General,Gains 30 attack,"Delets on Kill, Gains 15 attack on hit",20,33,5,16,8,2,12
Totem of Decay,Non mechanical units take DoT,Mechanised,General,Stun all units,Deals 5 damage to all non mechanical units whenever an enemy attacks,20,33,5,16,8,2,12
Scarab Tank,Armor Piercing,Mechanised,General,Deal 50 damage to unit,Ignores Armor,23,28,5,15,8,0,0
Icon of Fear,Roll to stun units on every action,Abomination,Conqueror,Stun all units,"whenever an enemy attacks, Roll D8, Stun that unit",22,40,13,4,12,2,15
Soul eater,"When any unit dies, add half of its stats to this unit",Experimental,General,Gain the stats of top 4 cards in graveyard and disposal,"When any unit dies, add half of its stats to this unit",22,47,5,12,12,2,12
Plague,"Prevents Heals, deals damage based on missing HP",Experimental,General,Deal damage to units = missing HP,player Units cannot heal while this enemy is alive,22,47,5,12,12,2,12
Ruin,Melts Armor and Shields,Experimental,General,"Remove armor and shields from units, deal damage = amount removed",Removes all Armor and shields on hit,25,40,5,11,11,0,0
Shadow Sower,Prevents all scouting effects and targeted effects,Drones,Conqueror,Kill active scout,Prevents all scouting effects and targeted effects,14,15,11,19,5,2,10
High Priest,"Heals Enemies, Grants Shields",Infantry,Conqueror,"Heal all units enemy to full, grant them 50 shields","when enemies attack, Heal all enemies by 5 and gain shields = amount healed",18,28,22,10,5,4,25
High General,Buffs all enemies,Infantry,Conqueror,Move this unit to reserve,"Give all enemies 20 damage, Shields and HP",20,25,21,10,5,2,15
Blood Hunter,Snake like creature that frenzies on kill,Beast,Conqueror,Kill Lowest HP unit,"Attacks an additional time per kill, moves to lowest HP unit on kill",22,33,26,5,5,2,15
Machine Mind,Steals Abilities of units it kills,Mechanised,Conqueror,Kill highest rank unit with an targeted ability,Gain the abilities of units this kills,22,42,6,20,10,2,15
Siege Ender,bonus damage based on progress,Mechanised,Conqueror,all units Gain 10 damage and shields per progress,Gains 10 attack per progress,19,48,6,21,11,8,50
Hydra,Every 25% HP missing Hydra gains a multi attack,Abomination,Conqueror,Gain Shields = Health,"Doubled attack for every 25% missing HP,
/
Gain Shield = current Health every time it loses 25% of max HP,",22,50,16,5,15,2,15
Amalgamation,combines the top 3 organic units of both graveyards,Abomination,Conqueror,Kill the highest ranked unit,"Take the last 3 enemies and allies to have died, combined their abilities and stats onto this unit",22,50,16,5,15,2,15
Zeus,"Stuns Mechanical, Hits all lanes",Experimental,Conqueror,Stun all Mechanical units for 2 rounds,"Hits all lanes, double damage to vehicles and Mechs",22,58,6,15,15,2,15
Cerberus,Different effects per lane,Experimental,Conqueror,Half the HP of all units,"Roll 2 dice to assign abilities: 
/
1 - Double Damage 2 - 20 attack on kill 
/
3 - Gains 2 armor on kill 4 - heal 20 on kill
/
5 - Hits all lanes on attack 6 - Double HP",22,58,6,15,15,2,15
